1,1,1,parked,2019-01-01,00:00:00
2,2,1,parked,2019-01-01,00:00:00
3,3,1,parked,2019-01-01,00:00:00
4,4,1,parked,2019-01-01,00:00:00
5,5,1,parked,2019-01-01,00:00:00
6,6,1,parked,2019-01-01,00:00:00
7,7,1,parked,2019-01-01,00:00:00
8,8,1,parked,2019-01-01,00:00:00
9,9,1,parked,2019-01-01,00:00:00
10,10,1,parked,2019-01-01,00:00:00
11,1,1,parked,2019-01-01,00:00:00
12,2,1,parked,2019-01-01,00:00:00
13,3,1,parked,2019-01-01,00:00:00
14,4,1,parked,2019-01-01,00:00:00
15,5,1,parked,2019-01-01,00:00:00
16,6,1,parked,2019-01-01,00:00:00
17,7,1,parked,2019-01-01,00:00:00
18,8,1,parked,2019-01-01,00:00:00
19,9,1,parked,2019-01-01,00:00:00
20,10,1,parked,2019-01-01,00:00:00
21,1,1,parked,2019-01-01,00:00:00
22,2,1,parked,2019-01-01,00:00:00
23,3,1,parked,2019-01-01,00:00:00
24,4,1,parked,2019-01-01,00:00:00
25,5,1,parked,2019-01-01,00:00:00
26,6,1,parked,2019-01-01,00:00:00
27,7,1,parked,2019-01-01,00:00:00
28,8,1,parked,2019-01-01,00:00:00
29,9,1,parked,2019-01-01,00:00:00
30,10,1,parked,2019-01-01,00:00:00
31,1,1,parked,2019-01-01,00:00:00
32,2,1,parked,2019-01-01,00:00:00
33,3,1,parked,2019-01-01,00:00:00
34,4,1,parked,2019-01-01,00:00:00
35,5,1,parked,2019-01-01,00:00:00
36,6,1,parked,2019-01-01,00:00:00
37,7,1,parked,2019-01-01,00:00:00
38,8,1,parked,2019-01-01,00:00:00
39,9,1,parked,2019-01-01,00:00:00
40,10,1,parked,2019-01-01,00:00:00
